Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Valor administración,Parqueaderos,estado
5,3,4,386,16742-M4795726,Frente al Hotel hunza,1200000000,Más de 20 años,386,386,,,venta_casa
5,4,5,210,16742-M4795707,CONDOMINIO EL LAGO,800000000,Entre 10 y 20 años,210,210,253000.0,1.0,venta_casa
3,3,4,146,16742-M4795647,Tejarez del Norte,350000000,Entre 10 y 20 años,146,146,230000.0,1.0,venta_casa
5,5,4,480,13873-M3706524,Condominio Campestre Santa Elena,2000000000,Entre 10 y 20 años,480,480,352000.0,4.0,venta_casa
5,5,5,420,16742-M4796230,LA MARIA,1100000000,Más de 20 años,420,420,,1.0,venta_casa
4,4,5,410,16742-M4795788,Condominio las acacias,1200000000,Entre 10 y 20 años,410,410,,2.0,venta_casa
3,2,5,92,16742-M4844700,MARIA FERNANDA,375000000,Entre 5 y 10 años,9202,92,185000000.0,1.0,venta_apartamento
5,3,3,461,10159-M4888691,Boyaca  Tunja,1500000000,Más de 20 años,461,461,,,venta_casa
3,2,3,98,10159-M4937798,La Granja,290000000,Entre 5 y 10 años,98,95,,2.0,venta_casa
2,2,5,78,16742-M4796791,GRAN RESERVA,300000000,Entre 10 y 20 años,78,78,185000.0,1.0,venta_apartamento
4,5,4,286,16742-M4795739,HUGOLINO,1200000000,Más de 20 años,286,286,,2.0,venta_casa
3,3,5,400,16742-M4795757,CONDOMINIO LAS ACACIAS,900000000,Entre 10 y 20 años,400,400,,1.0,venta_casa
3,2,3,145,16742-M4843682,SAN FRANCISCO,250000000,Entre 10 y 20 años,145,145,,1.0,venta_casa
4,3,5,160,16742-M4884650,LAS QUINTAS,440000000,Entre 10 y 20 años,160,160,,1.0,venta_casa
2,2,5,68,12373-M4870988,Unicentro,227000000,Entre 10 y 20 años,68,68,225000.0,1.0,venta_apartamento
3,2,3,62,10159-M4840145,Tunja,147000000,Entre 5 y 10 años,62,59,100000.0,,venta_apartamento
4,4,5,220,10159-M4930590,Unicentro,630000000,Entre 5 y 10 años,220,220,,1.0,venta_casa
3,3,2,151,3858-M4566733,ALTEZZA,480000000,Entre 5 y 10 años,151,151,290000.0,2.0,venta_apartamento
3,4,5,240,12373-M4978646,Las Quintas,690000000,Entre 0 y 5 años,240,240,,1.0,venta_casa
3,2,5,103,12373-M4898937,Edf  Milan,340000000,Entre 10 y 20 años,10383,10383,370000.0,1.0,venta_apartamento
