Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Valor administración,Parqueaderos
5,3,4,386,16742-M4795726,Frente al Hotel hunza,$1.200.000.000,Más de 20 años,386 m²,386 m²,,
5,4,5,210,16742-M4795707,CONDOMINIO EL LAGO,$800.000.000,Entre 10 y 20 años,210 m²,210 m²,$253.000,1.0
3,3,4,146,16742-M4795647,Tejarez del Norte,$350.000.000,Entre 10 y 20 años,146 m²,146 m²,$230.000,1.0
5,5,4,480,13873-M3706524,Condominio Campestre Santa Elena,$2.000.000.000,Entre 10 y 20 años,480 m²,480 m²,$352.000,4.0
5,5,5,420,16742-M4796230,LA MARIA,$1.100.000.000,Más de 20 años,420 m²,420 m²,,1.0
4,4,5,410,16742-M4795788,Condominio las acacias,$1.200.000.000,Entre 10 y 20 años,410 m²,410 m²,,2.0
3,2,5,92,16742-M4844700,MARIA FERNANDA,$375.000.000,Entre 5 y 10 años,92.02 m²,92 m²,$185.000.000,1.0
5,3,3,461,10159-M4888691,Boyaca  Tunja,$1.500.000.000,Más de 20 años,461 m²,461 m²,,
3,2,3,98,10159-M4937798,La Granja,$290.000.000,Entre 5 y 10 años,98 m²,95 m²,,2.0
2,2,5,78,16742-M4796791,GRAN RESERVA,$300.000.000,Entre 10 y 20 años,78 m²,78 m²,$185.000,1.0
4,5,4,286,16742-M4795739,HUGOLINO,$1.200.000.000,Más de 20 años,286 m²,286 m²,,2.0
3,3,5,400,16742-M4795757,CONDOMINIO LAS ACACIAS,$900.000.000,Entre 10 y 20 años,400 m²,400 m²,,1.0
3,2,3,145,16742-M4843682,SAN FRANCISCO,$250.000.000,Entre 10 y 20 años,145 m²,145 m²,,1.0
4,3,5,160,16742-M4884650,LAS QUINTAS,$440.000.000,Entre 10 y 20 años,160 m²,160 m²,,1.0
2,2,5,68,12373-M4870988,Unicentro,$227.000.000,Entre 10 y 20 años,68 m²,68 m²,$225.000,1.0
3,2,3,62,10159-M4840145,Tunja,$147.000.000,Entre 5 y 10 años,62 m²,59 m²,$100.000,
4,4,5,220,10159-M4930590,Unicentro,$630.000.000,Entre 5 y 10 años,220 m²,220 m²,,1.0
3,3,2,151,3858-M4566733,ALTEZZA,$480.000.000,Entre 5 y 10 años,151 m²,151 m²,$290.000,2.0
3,4,5,240,12373-M4978646,Las Quintas,$690.000.000,Entre 0 y 5 años,240 m²,240 m²,,1.0
3,2,5,103,12373-M4898937,Edf  Milan,$340.000.000,Entre 10 y 20 años,103.83 m²,103.83 m²,$370.000,1.0
2,2,5,53,12373-M4882764,Reserva Del Bosque Viva,$240.000.000,Entre 0 y 5 años,53 m²,53 m²,$190.000,1.0
3,2,5,68,10159-M4617370,Unicentro,$265.000.000,Entre 0 y 5 años,68 m²,64 m²,$229.000,1.0
3,3,5,144,10159-M4745038,Arboleda,$575.000.000,Entre 5 y 10 años,144 m²,140 m²,$420.000,2.0
4,4,4,290,10159-M4930649,Tunja,$570.000.000,Entre 10 y 20 años,290 m²,290 m²,,1.0
3,2,4,72,38-M4033833,Santa Catalina,$315.000.000,Entre 0 y 5 años,72 m²,72 m²,$159.000,1.0
3,2,3,62,10278-M4693451,La Florida,$262.900.000,Entre 0 y 5 años,62.32 m²,55.56 m²,,1.0
