Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Parqueaderos,Valor administración
3,3,5,195,12373-M4969123,Sanata Teresa,$600.000.000,Entre 0 y 5 años,195 m²,195 m²,1,
4,3,4,280,3072-M3396101,las quintas,$490.000.000,Entre 0 y 5 años,280 m²,280 m²,1,
5,4,4,290,10159-M4953361,Unicentro,$670.000.000,Entre 0 y 5 años,290 m²,270 m²,1,$250.000
3,2,5,90,16742-M4811418,Terrazas  1  Club House,$420.000.000,Entre 0 y 5 años,90 m²,90 m²,1,$330.000
5,5,4,720,11295-M3359954,MIRADOR EL LAGO,$800.000.000,Entre 10 y 20 años,720 m²,720 m²,1,$220.000
4,3,5,138,836-M4786549,In Altezza,$477.000.000,Entre 0 y 5 años,138 m²,138 m²,2,$255.000
3,2,5,110,16742-M4861324,MIRADOR DE LA COLINA,$460.000.000,Entre 5 y 10 años,110.75 m²,110.75 m²,1,$276.000.000
5,3,3,200,3072-M3786003,VILLA LUZ,$320.000.000,Más de 20 años,200 m²,200 m²,1,$20.000
5,3,3,170,10159-M4958335,Tunja,$300.000.000,Más de 20 años,170 m²,170 m²,1,
2,2,4,52,10159-M4830919,La Maria,$219.000.000,Entre 5 y 10 años,52.49 m²,50 m²,1,$125.500
3,2,3,92,11295-M4204386,EL PARAISO TUNJA,$160.000.000,Entre 10 y 20 años,92 m²,92 m²,1,
3,2,3,71,3072-M4082468,las nieves,$265.000.000,Entre 5 y 10 años,71 m²,71 m²,1,$100.000
4,3,3,94,10159-M4957787,Fuente Higueras,$220.000.000,Entre 10 y 20 años,94.98 m²,94.98 m²,1,$136.000
2,2,4,53,12373-M4895493,Reserva Del Bosque Viva,$235.000.000,Entre 0 y 5 años,53 m²,53 m²,1,$190.000
2,2,4,354,11295-M3359998,SAN FRANCISCO,$530.427.129,Entre 10 y 20 años,354 m²,354 m²,1,
5,3,3,200,10159-M4261945,Las Nieves,$480.000.000,Más de 20 años,200 m²,250 m²,,
4,4,5,232,12373-M4953579,Santa Ines,$580.000.000,Entre 5 y 10 años,232 m²,232 m²,1,
2,2,5,54,10159-M4857077,Unicentro,$227.000.000,Entre 0 y 5 años,54 m²,51 m²,1,$215.000
3,2,3,150,10159-M4958164,Santa Lucia,$320.000.000,Más de 20 años,150 m²,150 m²,,
5,3,1,165,10159-M4848759,El Dorado,$320.000.000,Entre 0 y 5 años,165 m²,160 m²,,
5,5,6,307,10159-M4838438,Zona Centro,$3.632.000.000,Más de 20 años,307 m²,300 m²,,
3,2,5,150,16742-M4962019,SANTA INES,$500.000.000,Entre 10 y 20 años,150 m²,150 m²,1,
2,2,5,70,12373-M4873547,Mesopotamia,$234.000.000,Entre 10 y 20 años,70.26 m²,70.26 m²,1,$220.000
1,1,3,21,11295-M4783206,UPTC TUNJA,$110.000.000,Entre 5 y 10 años,21 m²,21 m²,,$110.000.000
5,5,3,344,10159-M4455463,Tunja,$300.000.000,Más de 20 años,344 m²,344 m²,1,
3,2,3,54,10159-M4897177,El Rodeo,$210.000.000,Entre 0 y 5 años,54 m²,51 m²,1,$150.000
3,3,5,116,10159-M4578888,Mesopotamia,$420.000.000,Entre 10 y 20 años,116.42 m²,110.05 m²,1,$360.000
3,2,4,63,10159-M3814487,Balcones De Don Espiritu,$210.000.000,Entre 0 y 5 años,63 m²,60 m²,1,
3,2,3,62,10159-M4897203,La Florida,$265.000.000,Entre 0 y 5 años,62.32 m²,60 m²,1,$160.000
3,2,4,76,10159-M4898703,El Dorado,$235.000.000,Entre 5 y 10 años,76.53 m²,73 m²,1,$208.200
3,3,3,107,10159-M4947520,Tunja,$270.000.000,Entre 0 y 5 años,107 m²,104 m²,1,
5,3,2,212,10159-M4945979,El Libertador,$480.000.000,Más de 20 años,212.8 m²,319.2 m²,,
5,5,4,400,393-M4799667,Tunja,$470.000.000,Entre 10 y 20 años,400 m²,400 m²,2,
2,2,3,73,10159-M4958459,Zona Centro,$174.000.000,Más de 20 años,73 m²,73 m²,1,$54.000
3,3,3,137,11295-M3471921,MANZANARES,$327.700.000,Entre 10 y 20 años,137 m²,137 m²,1,$356.200
5,5,5,543,847-M4686008,Santa Helena,$1.900.000.000,Entre 10 y 20 años,543 m²,543 m²,4,$500.000
2,1,4,60,2147-M4454060,tunja,$160.000.000,Entre 5 y 10 años,60 m²,60 m²,,
5,3,3,101,10159-M4912947,Los Muiscas,$250.000.000,Más de 20 años,101 m²,101 m²,,
5,5,3,435,11295-M3487997,CONDOMINIO EL LAGO,$750.000.000,Entre 5 y 10 años,435 m²,435 m²,,$220.000
4,3,5,135,10159-M4892536,Santa Ines,$450.000.000,Más de 20 años,135 m²,135 m²,1,
4,3,3,140,10159-M4892593,Balcones Del Norte,$335.000.000,Entre 10 y 20 años,140 m²,138 m²,1,
5,2,2,310,10159-M4892542,Zona Centro,$500.000.000,Más de 20 años,310 m²,310 m²,2,
4,2,3,190,11295-M4195326,COOSERVICIOS,$250.000.000,Entre 10 y 20 años,190 m²,190 m²,1,
3,2,5,103,16742-M4849226,CAPITOLIO,$260.000.000,Entre 5 y 10 años,103 m²,103 m²,1,$230.000
3,2,4,61,16742-M4797363,MIRADOR DEL CENTRO,$225.000.000,Entre 10 y 20 años,61 m²,61 m²,1,$234.000
3,2,5,76,12373-M4870999,Innalteza,$215.000.000,Entre 5 y 10 años,76.36 m²,76.36 m²,1,
5,5,3,280,11295-M3572887,PUENTE HAMACA,$850.000.000,Entre 5 y 10 años,280 m²,5380 m²,4,
3,2,4,79,11295-M4204206,MALDONADO TUNJA,$240.000.000,Entre 5 y 10 años,79 m²,79 m²,1,$220.000
3,2,4,122,11295-M4019770,CENTRO,$300.000.000,Entre 5 y 10 años,122 m²,122 m²,1,$250.000
3,1,3,62,10159-M4957842,La Florida,$130.000.000,Más de 20 años,62 m²,60 m²,,
