Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Valor administración,Parqueaderos
5,5,4,435,11295-M3308508,,$750.000.000,Entre 5 y 10 años,435 m²,720 m²,$220.000,1
2,2,4,150,11295-M3972852,Los Muiscas,$280.000.000,Entre 5 y 10 años,150 m²,150 m²,,1
1,1,4,55,11295-M3470246,NORTE,$160.000.000,Entre 5 y 10 años,55 m²,55 m²,,
3,2,2,72,10159-M4892532,Santa Lucia,$280.000.000,Entre 0 y 5 años,72.7 m²,68 m²,$60.000,
1,1,3,30,MC4925707,San Laureano ,$95.000.000,Entre 10 y 20 años,30 m²,30 m²,,
3,2,3,62,10278-M4675763,La Florida,$201.900.000,Entre 0 y 5 años,62.32 m²,55.56 m²,,1
5,5,3,763,MC4723427,Plaza de Bolivar Centro Historico,$2.650.000.000,Más de 20 años,763 m²,763 m²,,
2,2,3,68,11295-M4893760,Sector Paraíso Tunja,$160.000.000,Remodelado,68 m²,68 m²,$20.000,
2,1,5,51,16742-M4943605,GRAN RESERVA,$240.000.000,Entre 10 y 20 años,51.87 m²,51.87 m²,$200.000,1
2,2,3,49,11295-M4851186,Sector las americas Tunja,$160.000.000,Entre 10 y 20 años,49 m²,49 m²,$160.000.000,
1,2,4,49,11295-M3607311,norte,$1.600.000.000,Entre 5 y 10 años,49 m²,49 m²,,
2,2,5,79,MC4343566,Mirador del Country,$309.665.000,Entre 0 y 5 años,79 m²,79 m²,$192.000,1
3,2,5,102,MC4492980,MIRADOR DEL COUNTRY,$400.000.000,Entre 0 y 5 años,102 m²,102 m²,,2
2,1,3,56,MC4765267,Universidad de Boyaca ,$175.000.000,Más de 20 años,56 m²,52 m²,$139.000,1
5,3,3,240,MC4946662,las nieves,$600.000.000,Entre 10 y 20 años,240 m²,300 m²,,1
5,4,3,240,MC4962547,URBANIZACION MANATIAL DEL NORTE,$600.000.000,Entre 0 y 5 años,240 m²,240 m²,$10,2
3,1,1,53,MC4947669,Antonia santos,$130.000.000,Entre 5 y 10 años,53 m²,53 m²,$25.000,
3,3,5,138,MC4954891,Arboleda,$570.000.000,Entre 5 y 10 años,138.2 m²,154 m²,$358.000,2
4,3,4,130,MC4986469,San Ignacio ,$380.000.000,Entre 10 y 20 años,130 m²,127 m²,$320.000,1
3,2,3,56,MC4990176,Arboreto ,$165.000.000,Entre 5 y 10 años,56 m²,53.5 m²,$95.000,
1,1,3,29,MC4963341,Gaitan,$125.000.000,Entre 10 y 20 años,29 m²,33 m²,$30.000,
3,3,3,99,MC4953938,patriotas,$230.000.000,Remodelado,99.68 m²,67.5 m²,,1
