url,Tipo de anuncio,Tipo de propiedad,Habitaciones,Baños,Superficie,Área construida,Piso,Estrato,precio,latitud,longitud,ubicacion,Año de construcción,Baño de visitas,Superficie del terreno,Parqueadero,Orientación
vendo-apartamento-cerca-a-unicentro-tunja.04b11625-6459-4b81-9ed0-5b1cca149c97,Venta,Apartamento,3.0,2.0,110m²,110m²,3.0,5.0,460.000.000,"5,5465998","-73,3472673","  Conjunto Residencial Mirador De La Colina, Tunja, Boyacá, Colombia  Santa Ines, Tunja, Boyacá  ",,,,,
"vendo-apartamento-nogales-de-la-florida,-tunja.c7b436d8-9dcf-4353-af90-2882ef5e1aeb",Venta,Apartamento,3.0,2.0,56m²,56m²,5.0,3.0,170.000.000,"5,514202","-73,368592","  Apartamentos Nogales de la Florida, Tunja, Boyacá, Colombia  Finca San Antonio, Tunja, Boyacá  ",,,,,
vendo-apartamento-nuevo-conjunto-amalfi-tunja.cd956834-4164-4c8c-ae43-922f69b1fa65,Venta,Apartamento,2.0,2.0,,52m²,3.0,5.0,240.000.000,"5,5659736","-73,3349818","  Amalfi - Constructora Alcabama, Avenida Universitaria, Tunja, Boyacá, Colombia  Tunja, Boyacá  ",2023.0,,,,
vendo-apartamento-conjunto-reina-cecilia-ii.9d0aca3c-fb8a-4151-9a37-56b779b7a135,Venta,Apartamento,2.0,2.0,68m²,68m²,6.0,4.0,385.000.000,"5,5751171","-73,3368342","  Conjunto Reina Cecilia II, Cra. 3, Tunja, Boyacá, Colombia  Portal del Campo, Tunja, Boyacá  ",,,,,
vendo-apartamento-caminitos-de-oicata-ii.50a48804-649f-464d-81ba-7332fe47faf0,Venta,Apartamento,3.0,2.0,64m²,64m²,4.0,4.0,268.000.000,"5,5733311","-73,3371752","  Caminitos de Oicata 2, Transversal 2a, Tunja, Boyacá, Colombia  Palos Verdes, Tunja, Boyacá  ",,,,,
vendo-apartamento-barrio-mesopotamia.a6569618-e3de-4b3a-81e3-53c2155d9d0e,Venta,Apartamento,2.0,2.0,59m²,59m²,5.0,5.0,235.000.000,"5,5457674","-73,35464","  Mesopotamia, Carrera 4, Tunja, Boyacá, Colombia  La Pradera, Tunja, Boyacá  ",,,,,
vendo-apartamento-urbanizacion-la-arboleda.b1804be3-5eaa-4571-8587-781cef0c74d0,Venta,Apartamento,3.0,2.0,,67m²,3.0,4.0,245.000.000,"5,5736696","-73,333986","  Parroquia Nuestra Señora De Lourdes, Tunja, Boyacá, Colombia  Boyaca, Bogotá, D.C., Bogotá, D.C.  ",,,,,
vendo-apartamento-en-tunja.018fc20d-2aec-70a3-8278-722dc1eeffd6,Venta,Apartamento,2.0,2.0,75m²,,,5.0,290.000.000,"5,5318111491398","-73,36070748659","  Centro, Tunja, Boyacá  ",2021.0,,,,
hermoso-apartamento-en-club-house.018f4d65-9bcc-7ce1-b64e-34c82ac6df32,Venta,Apartamento,4.0,3.0,120m²,,,4.0,370.000.000,"5,4034490188982","-73,336667412192","  Ramiriquí, Boyacá  ",2020.0,,,,
apartamento-en-tunja.ce7f4d75-245f-4837-bbfd-5485227de5c9,Venta,Apartamento,2.0,1.0,,84m²,,,220.000.000,"5,5446422","-73,3575572","  Tunja, Boyacá, Colombia  Los Parques, Tunja, Boyacá  ",2000.0,,,,
415.-hermoso-apartamento-tunja-unicentro.078a39c0-396e-48ca-9d1a-330446cd713a,Venta,Casa,4.0,3.0,220m²,220m²,,4.0,580.000.000,"5,5445254165046","-73,356203363825","  Tunja, Boyacá  ",,1.0,,,
apartamento-en-venta-tunja-cerca-a-la-camara-y-comercio.de64bbfc-5b70-4bbe-87a5-a9e573d49215,Venta,Apartamento,2.0,2.0,,65m²,10.0,4.0,255.000.000,"5,5446422","-73,3575572","  Tunja, Boyacá, Colombia  Los Parques, Tunja, Boyacá  ",2019.0,,,,
"venta-apartamento-tunja,-boyaca.03313648-f949-4bd5-a68c-e0a27b309ee4",Venta,Apartamento,5.0,6.0,138m²,138m²,,5.0,531.000.000,"5,5205001","-73,3558868","  Cra. 1, Tunja, Boyacá, Colombia  Los Muiscas, Tunja, Boyacá  ",,,,,
apartamento-en-venta-sector-tunja-boyaca.36603c75-7e93-4dc9-99f4-b9c5d0151313,Venta,Apartamento,2.0,2.0,84m²,84m²,,5.0,380.000.000,"5,5434204649712","-73,358134836768","  Tunja, Boyacá  ",,,,,
"venta-de-apartamento-en-los-muiscas,-tunja,-boyaca,-colombia.4f0c147f-3189-4a92-82c3-ed8cc2cc6687",Venta,Apartamento,2.0,2.0,150m²,150m²,,4.0,280.000.000,"5,53442","-73,3615","  Tunja, Boyacá, Colombia  Tunja, Boyacá  ",2016.0,,,,
"venta-apartamento-sector-manzanares,-tunja,-boyaca,-colombia.79a30f4d-6de0-4383-b645-791e07a7b946",Venta,Apartamento,3.0,3.0,137m²,137m²,,3.0,327.000.000,"5,534734417103","-73,362249109721","  Tunja, Boyacá  ",2009.0,,,,
espectacular-apartamento-al-norte-de-tunja.018f4c9d-68a4-7529-8529-f121ab85f680,Venta,Apartamento,2.0,2.0,69m²,,,4.0,380.000.000,"5,5765322020944","-73,335513635435","  Tunja, Boyacá  ",2023.0,,69 m²,,
"apartamento-en-venta,-mandonado-tunja.25c7376d-26d7-48c2-b106-de38497a44b9",Venta,Apartamento,2.0,2.0,79m²,79m²,,3.0,240.000.000,"5,5412516998504","-73,359038265372","  Maldonado, Tunja, Boyacá  ",,,,,
apartamento-para-estrenar-en-tunja.018f4cd5-ea45-7b98-87d5-1661e30e9c00,Venta,Apartamento,3.0,2.0,62m²,,,3.0,262.900.000,"5,5140608182998","-73,369458139894","  Ciudad Jardín, Tunja, Boyacá  ",2023.0,,62 m²,,
apartamento-en-venta-en-maldonado-tunja.68230879-f08a-4596-aa56-7720b3ef803a,Venta,Apartamento,3.0,2.0,79m²,79m²,,,230.000.000,"5,5446422","-73,3575572","  Tunja, Boyacá, Colombia  Tunja, Boyacá  ",,,,,
"apartamento-en-venta,-sector-las-americas-tunja.605542db-9821-4026-aad2-11af649d10ea",Venta,Apartamento,2.0,2.0,49m²,49m²,,3.0,160.000.000,"5,5467013348044","-73,36298390308","  Jorge Eliercer Gaitan, Tunja, Boyacá  ",,,,,
"apartamento-en-venta,-sector-mesopotamia-tunja.54defdce-d67b-4c89-a1f3-0867d45cd4fb",Venta,Apartamento,3.0,2.0,75m²,75m²,,5.0,250.000.000,"5,5439797141858","-73,356111171448","  La Pradera, Tunja, Boyacá  ",,,,,
apartamento-en-venta-en-parque-pinzon-tunja.a07a51ee-a7c6-4d79-a818-379376fb8b9d,Venta,Apartamento,1.0,1.0,27m²,27m²,,,120.000.000,"5,5446422","-73,3575572","  Tunja, Boyacá, Colombia  Los Parques, Tunja, Boyacá  ",,,,,
"apartamento-en-venta,-sector-paraiso-tunja.93f441d5-899f-4952-b840-718c35118dce",Venta,Apartamento,2.0,2.0,68m²,68m²,,3.0,160.000.000,"5,5350698994764","-73,361155302342","  La Duena, Tunja, Boyacá  ",,,,,
venta-de-apartamento-en-el-sector-de-manzanares-en-tunja.727495b9-4516-4cc8-94f8-ffcdcf11becb,Venta,Apartamento,3.0,3.0,137m²,137m²,,3.0,327.700.000,"5,5446422","-73,3575572","  Tunja, Boyacá, Colombia  Tunja, Boyacá  ",2013.0,,,,
