urls,title
vendo-apartamento-cerca-a-unicentro-tunja.04b11625-6459-4b81-9ed0-5b1cca149c97,vendo-apartamento-cerca-a-unicentro-tunja
"vendo-apartamento-nogales-de-la-florida,-tunja.c7b436d8-9dcf-4353-af90-2882ef5e1aeb","vendo-apartamento-nogales-de-la-florida,-tunja"
vendo-apartamento-nuevo-conjunto-amalfi-tunja.cd956834-4164-4c8c-ae43-922f69b1fa65,vendo-apartamento-nuevo-conjunto-amalfi-tunja
vendo-apartamento-conjunto-reina-cecilia-ii.9d0aca3c-fb8a-4151-9a37-56b779b7a135,vendo-apartamento-conjunto-reina-cecilia-ii
vendo-apartamento-caminitos-de-oicata-ii.50a48804-649f-464d-81ba-7332fe47faf0,vendo-apartamento-caminitos-de-oicata-ii
vendo-apartamento-barrio-mesopotamia.a6569618-e3de-4b3a-81e3-53c2155d9d0e,vendo-apartamento-barrio-mesopotamia
vendo-apartamento-urbanizacion-la-arboleda.b1804be3-5eaa-4571-8587-781cef0c74d0,vendo-apartamento-urbanizacion-la-arboleda
vendo-apartamento-en-tunja.018fc20d-2aec-70a3-8278-722dc1eeffd6,vendo-apartamento-en-tunja
hermoso-apartamento-en-club-house.018f4d65-9bcc-7ce1-b64e-34c82ac6df32,hermoso-apartamento-en-club-house
apartamento-en-tunja.ce7f4d75-245f-4837-bbfd-5485227de5c9,apartamento-en-tunja
415.-hermoso-apartamento-tunja-unicentro.078a39c0-396e-48ca-9d1a-330446cd713a,415.-hermoso-apartamento-tunja-unicentro
apartamento-en-venta-tunja-cerca-a-la-camara-y-comercio.de64bbfc-5b70-4bbe-87a5-a9e573d49215,apartamento-en-venta-tunja-cerca-a-la-camara-y-comercio
"venta-apartamento-tunja,-boyaca.03313648-f949-4bd5-a68c-e0a27b309ee4","venta-apartamento-tunja,-boyaca"
apartamento-en-venta-sector-tunja-boyaca.36603c75-7e93-4dc9-99f4-b9c5d0151313,apartamento-en-venta-sector-tunja-boyaca
"venta-de-apartamento-en-los-muiscas,-tunja,-boyaca,-colombia.4f0c147f-3189-4a92-82c3-ed8cc2cc6687","venta-de-apartamento-en-los-muiscas,-tunja,-boyaca,-colombia"
"venta-apartamento-sector-manzanares,-tunja,-boyaca,-colombia.79a30f4d-6de0-4383-b645-791e07a7b946","venta-apartamento-sector-manzanares,-tunja,-boyaca,-colombia"
espectacular-apartamento-al-norte-de-tunja.018f4c9d-68a4-7529-8529-f121ab85f680,espectacular-apartamento-al-norte-de-tunja
"apartamento-en-venta,-mandonado-tunja.25c7376d-26d7-48c2-b106-de38497a44b9","apartamento-en-venta,-mandonado-tunja"
apartamento-en-venta-en-maldonado-tunja.fa455875-f972-40c4-be1f-1eba8e689b6f,apartamento-en-venta-en-maldonado-tunja
apartamento-para-estrenar-en-tunja.018f4cd5-ea45-7b98-87d5-1661e30e9c00,apartamento-para-estrenar-en-tunja
apartamento-en-venta-en-maldonado-tunja.68230879-f08a-4596-aa56-7720b3ef803a,apartamento-en-venta-en-maldonado-tunja
"apartamento-en-venta,-sector-las-americas-tunja.605542db-9821-4026-aad2-11af649d10ea","apartamento-en-venta,-sector-las-americas-tunja"
"apartamento-en-venta,-sector-mesopotamia-tunja.54defdce-d67b-4c89-a1f3-0867d45cd4fb","apartamento-en-venta,-sector-mesopotamia-tunja"
apartamento-en-venta-en-parque-pinzon-tunja.a07a51ee-a7c6-4d79-a818-379376fb8b9d,apartamento-en-venta-en-parque-pinzon-tunja
apartamento-en-venta-en-maldonado-tunja.9f018fe4-cff9-4d00-af99-3579fbcaff13,apartamento-en-venta-en-maldonado-tunja
"apartamento-en-venta,-sector-paraiso-tunja.93f441d5-899f-4952-b840-718c35118dce","apartamento-en-venta,-sector-paraiso-tunja"
venta-de-apartamento-en-el-sector-de-manzanares-en-tunja.727495b9-4516-4cc8-94f8-ffcdcf11becb,venta-de-apartamento-en-el-sector-de-manzanares-en-tunja
"apartamento-para-estrenar-en-tunja,-la-mejor-ubicacion.018f4d09-b662-79b6-984c-a982c7d048ce","apartamento-para-estrenar-en-tunja,-la-mejor-ubicacion"
"apartamento-para-estrenar-en-tunja,-la-mejor-ubicacion.018f4d07-717d-7161-8721-7d1f159b5f6c","apartamento-para-estrenar-en-tunja,-la-mejor-ubicacion"
venta-de-apartamento-ubicado-en-el-setor-maldonado-en-tunja.180737e2-3919-4c8c-9f37-feb0b10df17c,venta-de-apartamento-ubicado-en-el-setor-maldonado-en-tunja
apartamento-en-venta-en-el-centro-de-tunja.6adc2a0b-7728-4cab-8411-aaffa3ef538b,apartamento-en-venta-en-el-centro-de-tunja
venta-de-apartamento-dúplex-en-el-sector-de-unicentro-en-tunja.f6c77ca4-2c9d-4b07-adc6-8bf2d02bae2b,venta-de-apartamento-dúplex-en-el-sector-de-unicentro-en-tunja
