path,tipo,estado,ubicacion,url,habitacion,baño,dimension,precio,estrato,latitud,longitud
2b72-82fe-18fc293-722dc1ef005c-7129,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,2b72-82fe-18fc293-722dc1ef005c-7129,2,2,75m2,290.000.000,5.0,5.532431,-73.361601
2688-879f-6b245957-690b01267248-3152,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,2688-879f-6b245957-690b01267248-3152,3,2,78m2,250.000.000,,5.534,-73.362
9e55-b016-c7b4375e-2882ef5e1b71-43d9,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,9e55-b016-c7b4375e-2882ef5e1b71-43d9,3,2,56m2,170.000.000,3.0,5.514202,-73.368592
eacb-885b-18f4d5b-1661e30e9c86-7c1e,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,eacb-885b-18f4d5b-1661e30e9c86-7c1e,3,2,"62,32m2",262.900.000,3.0,5.512884,-73.367969
b6e8-98d2-18f4d8f-a982c7d04954-7a3c,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,b6e8-98d2-18f4d8f-a982c7d04954-7a3c,3,2,"62,32m2",202.900.000,3.0,5.512952,-73.367884
7203-87a7-18f4d8d-7d1f159b5ff2-71e7,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,7203-87a7-18f4d8d-7d1f159b5ff2-71e7,3,2,"62,32m2",201.900.000,3.0,5.512952,-73.367884
f7e1-a67f-1d6b1f94-b19109b0bc69-4c10,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,f7e1-a67f-1d6b1f94-b19109b0bc69-4c10,N,1,24m2,110.000.000,3.0,5.5126962,-73.3682556
8a25-b8c6-93f4425b-718c35118e54-49d8,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,8a25-b8c6-93f4425b-718c35118e54-49d8,2,2,68m2,160.000.000,3.0,5.5354472,-73.3605867
275d-b18c-25c737f3-de38497a453f-4948,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,275d-b18c-25c737f3-de38497a453f-4948,2,2,79m2,240.000.000,3.0,5.5413595,-73.3583433
c356-9bd3-ad48bf6c-5f2d1d014225-308c,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,c356-9bd3-ad48bf6c-5f2d1d014225-308c,3,3,89m2,230.000.000,,5.535,-73.352
4a8f-ba4b-18fa5dd-894c5d123024-765f,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,4a8f-ba4b-18fa5dd-894c5d123024-765f,3,2,66m2,175.000.000,,5.524,-73.364
f9cf-a712-33136ce-e0a27b309f6a-4c5b,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,f9cf-a712-33136ce-e0a27b309f6a-4c5b,5,6,"137,5m2",531.000.000,5.0,5.5205001,-73.3558868
2a35-9bb6-111c69a1-1d8dd4f1069a-3600,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,2a35-9bb6-111c69a1-1d8dd4f1069a-3600,2,2,50m2,170.000.000,,5.539,-73.359
2826-9d40-74f94578-153348823f72-30a7,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,2826-9d40-74f94578-153348823f72-30a7,4,4,"126,82m2",340.000.000,,5.533,-73.363
320f-8349-4f0c1505-ed8cc2cc670d-4b18,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,320f-8349-4f0c1505-ed8cc2cc670d-4b18,2,2,150m2,280.000.000,4.0,5.53442,-73.3615
ec7d-b065-8f9b9a22-6612be5502c-3394,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,ec7d-b065-8f9b9a22-6612be5502c-3394,2,1,52m2,250.000.000,,5.541,-73.358
b4c8-844a-8031e5d2-e0072330b4c7-3f81,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,b4c8-844a-8031e5d2-e0072330b4c7-3f81,4,4,152m2,415.000.000,,5.542,-73.358
